D1,DS1,DSF,DpA,DpB,T1,T2,T3,T4,deltaT,P,M01,M02,VA,VB,D2A,D2B,Ds,TS1,SF,D3A,D3B,DS2A,DS2B,POA,POB,TsA,TsB,SFA,SFB,DgA,YseA,YsynA,YuntA,CaoA,DgB,YseB,YsynB,YuntB,CaoB,Ym,CaO,R
181.0,1630.0,71.0,135.5,301.0,85.0,81.17999999999999,80.56,79.58500000000001,2.1602499999999996,337.07,86.7,73.23,457.0,495.0,345.0,379.0,1443.0,28.625000000000007,29.18,138.18,87.27,1218.5,1217.0,23.06125000000001,23.065000000000005,1.02,1.08,30.87,30.38,102.0,0.1,0.6,0.2,32.46,102.0,0.13,0.59,0.21,32.52,0.915,32.49,95.21
219.0,1649.0,101.0,152.0,276.0,87.0,82.12,82.23,80.72,1.507,319.6,87.99,55.72,478.0,524.0,360.0,360.0,1470.0,34.48,31.48,100.38,57.06,1218.5,1217.0,24.02,24.17,1.07,1.02,30.38,29.4,114.0,0.15,0.58,0.22,32.44,114.0,0.17,0.59,0.21,32.39,0.96,32.42,94.97
195.0,1641.0,94.0,181.0,279.0,87.0,82.39,81.97,80.76,1.212,311.04,90.1,69.15,546.0,583.0,388.0,365.0,1487.0,33.38,30.63,110.38,79.28,1239.0,1239.0,24.02,24.17,1.07,1.02,30.38,29.4,133.0,0.12,0.6,0.21,32.64,131.0,0.14,0.59,0.21,32.46,0.935,32.55,95.12
190.0,1670.0,90.0,186.0,289.0,87.0,82.21,82.11,81.04,1.064,315.17,89.88,71.85,474.0,531.0,379.0,374.0,1458.0,29.82,34.42,85.17,87.32,1238.0,1238.0,24.02,24.17,1.07,1.02,30.38,29.4,128.0,0.21,0.6,0.2,32.52,126.0,0.19,0.59,0.2,32.66,0.995,32.59,94.81
179.0,1666.0,91.0,156.0,287.0,89.0,82.62,82.49,81.39,1.1,313.95,92.12,46.0,553.0,597.0,359.0,366.0,1480.0,31.93,27.13,102.8,89.05,1241.0,1240.0,24.55,24.79,0.92,0.96,25.97,26.95,131.0,0.15,0.58,0.22,32.49,130.0,0.18,0.6,0.23,32.42,0.98,32.46,94.87
202.0,1674.0,90.0,167.0,281.0,86.0,82.42,82.23,80.7,1.532,314.15,87.6,53.17,484.0,523.0,371.0,355.0,1444.0,31.84,35.46,99.57,81.26,1235.0,1236.0,24.55,24.79,0.92,0.96,25.97,26.95,127.0,0.11,0.58,0.2,32.41,129.0,0.08,0.6,0.19,32.58,0.88,32.5,95.4
183.0,1667.0,91.0,177.0,291.0,88.0,82.69,82.51,81.57,0.941,314.17,89.67,60.22,509.0,549.0,359.0,379.0,1476.0,31.73,29.46,94.75,89.89,1241.0,1240.0,24.55,24.79,0.92,0.96,25.97,26.95,128.0,0.12,0.56,0.2,32.66,130.0,0.14,0.57,0.21,32.54,0.9,32.6,95.31
190.0,1656.0,91.0,180.0,284.0,88.0,82.55,82.38,81.07,1.319,314.17,88.39,67.43,544.0,580.0,365.0,375.0,1462.0,30.95,30.87,86.08,93.98,1233.0,1235.0,24.49,24.74,0.89,1.07,29.4,29.89,129.0,0.12,0.55,0.2,32.48,130.0,0.11,0.57,0.2,32.46,0.875,32.47,95.42
188.0,1666.0,91.0,167.0,286.0,87.0,82.55,82.31,81.41,0.901,314.27,90.39,59.67,475.0,475.0,353.0,379.0,1462.0,31.52,33.99,98.46,88.48,1229.0,1236.0,24.49,24.74,0.89,1.07,29.4,29.89,130.0,0.1,0.57,0.22,32.49,130.0,0.09,0.58,0.2,32.4,0.88,32.45,95.39
195.0,1650.0,94.0,167.0,295.0,89.0,82.73,82.68,81.52,1.159,312.63,90.33,63.41,551.0,610.0,383.0,374.0,1459.0,30.35,28.55,92.36,90.1,1230.0,1238.0,24.49,24.74,0.89,1.07,29.4,29.89,132.0,0.09,0.57,0.2,32.5,132.0,0.11,0.59,0.21,32.33,0.885,32.42,95.36
