DpB,T1,T2,T4,M01,M02,VA,Ds,YseB
279.0,87.0,82.39,80.76,90.1,69.15,546.0,1487.0,0.14
289.0,87.0,82.21,81.04,89.88,71.85,474.0,1458.0,0.19
287.0,89.0,82.62,81.39,92.12,46.0,553.0,1480.0,0.18
281.0,86.0,82.42,80.7,87.6,53.17,484.0,1444.0,0.08
291.0,88.0,82.69,81.57,89.67,60.22,509.0,1476.0,0.14
284.0,88.0,82.55,81.07,88.39,67.43,544.0,1462.0,0.11
286.0,87.0,82.55,81.41,90.39,59.67,475.0,1462.0,0.09
295.0,89.0,82.73,81.52,90.33,63.41,551.0,1459.0,0.11
312.0,88.0,82.8,81.88,92.45,56.1,482.0,1494.0,0.17
296.0,86.0,82.35,81.11,86.56,88.4,521.0,1473.0,0.15
300.0,89.0,82.91,82.02,92.18,83.56,403.0,1484.0,0.16
299.0,89.0,82.34,81.17,90.22,62.43,494.0,1468.0,0.21
323.0,87.0,82.49,81.54,92.87,65.12,452.0,1482.0,0.14
284.0,93.0,82.46,82.0,92.54,103.06,515.0,1471.0,0.1
291.0,91.0,82.51,81.83,91.53,98.09,534.0,1455.0,0.11
280.0,91.0,82.3,81.88,93.05,53.67,446.0,1461.0,0.17
284.0,91.0,82.19,81.68,92.64,63.12,476.0,1452.0,0.18
290.0,89.0,82.3,81.83,92.86,57.76,459.0,1460.0,0.11
293.0,76.0,82.94,81.26,82.61,91.97,304.0,1456.0,0.12
305.0,78.0,82.5,80.45,78.19,89.41,384.0,1505.0,0.14
266.0,76.0,82.93,81.54,82.83,80.22,472.0,1464.0,0.12
278.0,75.0,82.34,80.91,76.64,68.99,362.0,1482.0,0.21
298.0,77.0,82.27,80.73,85.24,66.35,538.0,1469.0,0.15
300.0,78.0,82.71,80.88,86.57,93.73,426.0,1464.0,0.19
322.0,80.0,82.55,80.55,77.27,60.43,357.0,1483.0,0.14
313.0,77.0,82.17,80.65,78.42,66.56,434.0,1475.0,0.13
274.0,77.0,81.45,79.8,76.37,67.44,500.0,1463.0,0.12
206.0,78.0,82.02,80.5,79.07,59.16,350.0,1469.0,0.14
272.0,79.0,82.12,80.68,77.66,55.88,543.0,1476.0,0.18
293.0,76.0,82.39,80.77,79.05,62.15,613.0,1471.0,0.1
297.0,79.0,82.08,80.57,78.63,48.33,489.0,1475.0,0.11
193.0,77.0,82.45,80.55,83.73,73.84,342.0,1489.0,0.12
299.0,81.0,82.28,80.49,76.33,64.11,402.0,1487.0,0.13
299.0,82.0,82.33,80.59,80.97,51.31,448.0,1480.0,0.12
316.0,84.0,82.66,81.04,84.49,45.44,470.0,1469.0,0.12
319.0,83.0,82.16,80.49,90.33,43.98,383.0,1481.0,0.1
294.0,83.0,81.99,80.59,81.58,40.11,371.0,1467.0,0.12
288.0,82.0,81.83,80.17,77.46,79.23,480.0,1468.0,0.12
251.0,79.0,81.9,80.31,80.16,77.9,407.0,1480.0,0.1
278.0,81.0,82.36,80.69,76.03,44.94,471.0,1473.0,0.08
275.0,82.0,82.74,81.05,80.39,57.53,403.0,1489.0,0.1
281.0,80.0,81.55,80.01,84.15,62.0,508.0,1468.0,0.1
305.0,81.0,82.71,81.22,87.02,73.79,375.0,1481.0,0.11
320.0,81.0,82.23,80.76,87.23,48.22,377.0,1483.0,0.16
311.0,81.0,82.3,80.77,84.71,76.57,343.0,1469.0,0.15
300.0,81.0,82.5,80.68,85.41,55.5,434.0,1478.0,0.1
305.0,81.0,82.22,80.57,85.46,67.08,381.0,1484.0,0.08
288.0,82.0,81.93,80.3,79.18,64.24,423.0,1462.0,0.11
299.0,83.0,81.9,80.39,77.13,72.5,265.0,1473.0,0.12
336.0,82.0,82.09,80.62,76.29,93.34,330.0,1480.0,0.11
301.0,87.0,82.27,81.14,85.48,41.64,368.0,1480.0,0.16
285.0,87.0,82.16,80.61,75.49,69.49,389.0,1493.0,0.1
312.0,89.0,82.34,80.98,77.4,58.65,355.0,1499.0,0.12
319.0,89.0,82.34,81.0,78.42,63.94,385.0,1499.0,0.1
323.0,89.0,82.34,80.93,79.54,70.37,419.0,1503.0,0.14
326.0,89.0,82.07,80.98,80.95,77.88,466.0,1477.0,0.12
346.0,87.0,82.09,80.69,78.51,91.99,369.0,1492.0,0.11
313.0,86.0,82.12,80.6,76.41,76.03,414.0,1494.0,0.14
308.0,85.0,82.13,80.57,76.12,71.76,442.0,1486.0,0.12
311.0,86.0,82.18,80.96,76.92,74.0,405.0,1490.0,0.1
327.0,86.0,82.48,81.3,81.39,91.87,392.0,1484.0,0.09
311.0,85.0,82.45,80.98,78.83,78.73,421.0,1498.0,0.21
333.0,89.0,82.3,81.77,90.06,85.75,281.0,1472.0,0.13
241.0,89.0,82.29,81.14,79.55,78.43,471.0,1475.0,0.12
299.0,88.0,83.03,81.63,79.81,74.45,564.0,1502.0,0.1
366.0,91.0,82.99,81.37,77.01,89.26,264.0,1478.0,0.13
311.0,90.0,82.97,81.43,76.9,57.75,386.0,1489.0,0.11
307.0,92.0,82.21,80.69,76.25,66.56,308.0,1479.0,0.13
320.0,93.0,81.91,80.95,75.39,90.19,278.0,1492.0,0.1
278.0,94.0,81.96,81.17,76.09,87.7,266.0,1496.0,0.14
296.0,92.0,81.97,80.96,76.77,67.32,296.0,1501.0,0.1
307.0,87.0,81.99,81.08,81.34,77.53,364.0,1496.0,0.12
304.0,87.0,82.02,81.19,83.69,77.61,358.0,1495.0,0.14
305.0,87.0,81.93,81.12,79.11,81.27,342.0,1500.0,0.14
294.0,85.0,82.03,81.31,81.21,76.23,338.0,1499.0,0.09
