D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
195.0,1641.0,279.0,87.0,81.97,80.76,311.04,90.1,33.38,30.63,0.6,376.5
190.0,1670.0,289.0,87.0,82.11,81.04,315.17,89.88,29.82,34.42,0.6,376.5
179.0,1666.0,287.0,89.0,82.49,81.39,313.95,92.12,31.93,27.13,0.58,362.5
202.0,1674.0,281.0,86.0,82.23,80.7,314.15,87.6,31.84,35.46,0.58,363.0
183.0,1667.0,291.0,88.0,82.51,81.57,314.17,89.67,31.73,29.46,0.56,369.0
190.0,1656.0,284.0,88.0,82.38,81.07,314.17,88.39,30.95,30.87,0.55,370.0
188.0,1666.0,286.0,87.0,82.31,81.41,314.27,90.39,31.52,33.99,0.57,366.0
195.0,1650.0,295.0,89.0,82.68,81.52,312.63,90.33,30.35,28.55,0.57,378.5
186.0,1646.0,312.0,88.0,82.54,81.88,311.97,92.45,33.67,29.52,0.6,392.5
190.0,1652.0,296.0,86.0,82.26,81.11,313.15,86.56,31.73,30.81,0.59,383.5
201.0,1650.0,300.0,89.0,82.67,82.02,311.89,92.18,32.09,30.76,0.61,411.0
218.0,1651.0,299.0,89.0,81.98,81.17,310.48,90.22,31.11,31.77,0.56,386.5
196.0,1628.0,323.0,87.0,81.98,81.54,313.85,92.87,32.04,31.08,0.61,427.5
195.0,1627.0,284.0,93.0,82.4,82.0,313.01,92.54,32.07,33.73,0.6,371.5
190.0,1630.0,291.0,91.0,82.38,81.83,314.0,91.53,29.99,31.17,0.6,369.5
199.0,1628.0,280.0,91.0,82.04,81.88,313.93,93.05,31.08,31.9,0.6,378.5
205.0,1601.0,284.0,91.0,82.0,81.68,313.9,92.64,30.76,28.54,0.59,387.5
198.0,1617.0,290.0,89.0,82.18,81.83,314.21,92.86,31.78,31.73,0.59,385.5
217.0,1625.0,293.0,76.0,82.72,81.26,326.19,82.61,30.48,37.37,0.64,404.0
255.0,1588.0,305.0,78.0,82.27,80.45,319.53,78.19,36.37,29.08,0.6,407.0
190.0,1659.0,266.0,76.0,81.78,81.54,338.66,82.83,32.59,31.63,0.64,355.5
186.0,1644.0,278.0,75.0,81.78,80.91,324.85,76.64,32.3,27.92,0.63,349.5
211.0,1622.0,298.0,77.0,82.08,80.73,321.17,85.24,31.76,34.12,0.58,372.5
223.0,1665.0,300.0,78.0,82.51,80.88,316.52,86.57,30.3,32.89,0.6,424.0
224.0,1628.0,322.0,80.0,82.31,80.55,324.96,77.27,34.2,27.07,0.6,450.0
210.0,1635.0,313.0,77.0,81.95,80.65,335.38,78.42,32.0,31.85,0.59,409.5
173.0,1647.0,274.0,77.0,81.24,79.8,327.07,76.37,31.59,24.84,0.6,407.5
175.0,1665.0,206.0,78.0,81.81,80.5,325.84,79.07,32.09,31.61,0.62,376.5
190.0,1635.0,272.0,79.0,81.9,80.68,328.01,77.66,32.95,31.45,0.65,366.5
146.0,1661.0,293.0,76.0,81.55,80.77,332.32,79.05,32.84,28.97,0.64,339.0
195.0,1653.0,297.0,79.0,81.86,80.57,325.12,78.63,32.63,35.28,0.65,380.5
193.0,1638.0,193.0,77.0,82.24,80.55,327.17,83.73,32.63,36.45,0.61,443.0
236.0,1618.0,299.0,81.0,82.11,80.49,329.03,76.33,34.05,30.2,0.6,418.0
232.0,1618.0,299.0,82.0,82.19,80.59,329.62,80.97,33.1,30.26,0.59,437.5
228.0,1615.0,316.0,84.0,82.47,81.04,329.55,84.49,31.81,33.41,0.59,457.0
220.0,1616.0,319.0,83.0,81.96,80.49,324.95,90.33,32.48,30.93,0.61,464.5
220.0,1623.0,294.0,83.0,81.78,80.59,326.03,81.58,30.51,36.71,0.6,398.5
243.0,1607.0,288.0,82.0,81.61,80.17,326.72,77.46,31.3,32.86,0.6,393.0
183.0,1630.0,251.0,79.0,81.69,80.31,328.5,80.16,33.61,29.89,0.58,398.0
212.0,1622.0,278.0,81.0,82.14,80.69,332.16,76.03,31.63,30.38,0.59,383.5
215.0,1635.0,275.0,82.0,82.51,81.05,328.7,80.39,33.3,32.67,0.61,382.5
215.0,1604.0,281.0,80.0,81.36,80.01,324.26,84.15,32.2,35.16,0.63,390.0
218.0,1639.0,305.0,81.0,82.52,81.22,324.55,87.02,31.72,31.18,0.63,426.5
220.0,1635.0,320.0,81.0,82.03,80.76,324.49,87.23,31.34,34.99,0.65,432.0
227.0,1629.0,311.0,81.0,82.1,80.77,328.64,84.71,29.97,33.69,0.62,432.5
232.0,1631.0,300.0,81.0,82.28,80.68,320.0,85.41,31.2,32.37,0.62,395.5
219.0,1635.0,305.0,81.0,82.02,80.57,320.0,85.46,33.17,33.26,0.61,405.0
219.0,1614.0,288.0,82.0,81.72,80.3,322.44,79.18,31.21,31.95,0.62,393.0
228.0,1621.0,299.0,83.0,81.69,80.39,322.03,77.13,32.5,30.11,0.64,415.5
203.0,1617.0,336.0,82.0,81.88,80.62,324.98,76.29,32.16,30.29,0.65,456.0
183.0,1639.0,301.0,87.0,82.09,81.14,325.9,85.48,31.9,31.18,0.61,478.5
192.0,1638.0,285.0,87.0,81.43,80.61,330.58,75.49,34.03,29.15,0.6,375.0
214.0,1614.0,312.0,89.0,82.03,80.98,328.07,77.4,34.27,33.42,0.61,398.0
218.0,1611.0,319.0,89.0,82.05,81.0,326.96,78.42,34.88,36.87,0.6,406.5
221.0,1609.0,323.0,89.0,81.96,80.93,325.05,79.54,33.15,25.48,0.59,416.0
224.0,1603.0,326.0,89.0,81.84,80.98,320.03,80.95,31.63,31.18,0.6,421.5
227.0,1595.0,346.0,87.0,81.89,80.69,319.9,78.51,32.78,27.26,0.59,453.0
229.0,1612.0,313.0,86.0,81.72,80.6,319.02,76.41,33.86,30.9,0.58,413.5
216.0,1610.0,308.0,85.0,81.72,80.57,320.45,76.12,33.2,29.51,0.58,417.5
213.0,1629.0,311.0,86.0,82.07,80.96,321.21,76.92,32.89,30.26,0.6,415.5
226.0,1633.0,327.0,86.0,82.53,81.3,320.99,81.39,31.02,34.03,0.61,433.0
218.0,1617.0,311.0,85.0,82.3,80.98,320.41,78.83,32.44,30.63,0.61,437.0
211.0,1643.0,333.0,89.0,82.27,81.77,320.14,90.06,30.66,31.03,0.61,441.0
190.0,1642.0,241.0,89.0,82.35,81.14,329.46,79.55,31.65,29.48,0.59,426.0
168.0,1651.0,299.0,88.0,81.78,81.63,326.29,79.81,34.34,33.15,0.6,364.5
