D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
195.0,1641.0,279.0,87.0,81.97,80.76,311.04,90.1,69.15,33.38,0.21
190.0,1670.0,289.0,87.0,82.11,81.04,315.17,89.88,71.85,29.82,0.2
179.0,1666.0,287.0,89.0,82.49,81.39,313.95,92.12,46.0,31.93,0.23
202.0,1674.0,281.0,86.0,82.23,80.7,314.15,87.6,53.17,31.84,0.19
183.0,1667.0,291.0,88.0,82.51,81.57,314.17,89.67,60.22,31.73,0.21
190.0,1656.0,284.0,88.0,82.38,81.07,314.17,88.39,67.43,30.95,0.2
188.0,1666.0,286.0,87.0,82.31,81.41,314.27,90.39,59.67,31.52,0.2
195.0,1650.0,295.0,89.0,82.68,81.52,312.63,90.33,63.41,30.35,0.21
186.0,1646.0,312.0,88.0,82.54,81.88,311.97,92.45,56.1,33.67,0.2
190.0,1652.0,296.0,86.0,82.26,81.11,313.15,86.56,88.4,31.73,0.19
201.0,1650.0,300.0,89.0,82.67,82.02,311.89,92.18,83.56,32.09,0.2
218.0,1651.0,299.0,89.0,81.98,81.17,310.48,90.22,62.43,31.11,0.21
196.0,1628.0,323.0,87.0,81.98,81.54,313.85,92.87,65.12,32.04,0.21
195.0,1627.0,284.0,93.0,82.4,82.0,313.01,92.54,103.06,32.07,0.21
190.0,1630.0,291.0,91.0,82.38,81.83,314.0,91.53,98.09,29.99,0.19
199.0,1628.0,280.0,91.0,82.04,81.88,313.93,93.05,53.67,31.08,0.21
205.0,1601.0,284.0,91.0,82.0,81.68,313.9,92.64,63.12,30.76,0.2
198.0,1617.0,290.0,89.0,82.18,81.83,314.21,92.86,57.76,31.78,0.21
217.0,1625.0,293.0,76.0,82.72,81.26,326.19,82.61,91.97,30.48,0.21
255.0,1588.0,305.0,78.0,82.27,80.45,319.53,78.19,89.41,36.37,0.21
190.0,1659.0,266.0,76.0,81.78,81.54,338.66,82.83,80.22,32.59,0.21
186.0,1644.0,278.0,75.0,81.78,80.91,324.85,76.64,68.99,32.3,0.19
211.0,1622.0,298.0,77.0,82.08,80.73,321.17,85.24,66.35,31.76,0.21
223.0,1665.0,300.0,78.0,82.51,80.88,316.52,86.57,93.73,30.3,0.19
224.0,1628.0,322.0,80.0,82.31,80.55,324.96,77.27,60.43,34.2,0.19
210.0,1635.0,313.0,77.0,81.95,80.65,335.38,78.42,66.56,32.0,0.19
173.0,1647.0,274.0,77.0,81.24,79.8,327.07,76.37,67.44,31.59,0.19
175.0,1665.0,206.0,78.0,81.81,80.5,325.84,79.07,59.16,32.09,0.2
190.0,1635.0,272.0,79.0,81.9,80.68,328.01,77.66,55.88,32.95,0.19
146.0,1661.0,293.0,76.0,81.55,80.77,332.32,79.05,62.15,32.84,0.2
195.0,1653.0,297.0,79.0,81.86,80.57,325.12,78.63,48.33,32.63,0.2
193.0,1638.0,193.0,77.0,82.24,80.55,327.17,83.73,73.84,32.63,0.19
236.0,1618.0,299.0,81.0,82.11,80.49,329.03,76.33,64.11,34.05,0.21
232.0,1618.0,299.0,82.0,82.19,80.59,329.62,80.97,51.31,33.1,0.2
228.0,1615.0,316.0,84.0,82.47,81.04,329.55,84.49,45.44,31.81,0.2
220.0,1616.0,319.0,83.0,81.96,80.49,324.95,90.33,43.98,32.48,0.21
220.0,1623.0,294.0,83.0,81.78,80.59,326.03,81.58,40.11,30.51,0.2
243.0,1607.0,288.0,82.0,81.61,80.17,326.72,77.46,79.23,31.3,0.2
