T1,T2,T4,M01,VA,D2A,Ds,YseB
87.0,82.39,80.76,90.1,546.0,388.0,1487.0,0.14
87.0,82.21,81.04,89.88,474.0,379.0,1458.0,0.19
89.0,82.62,81.39,92.12,553.0,359.0,1480.0,0.18
86.0,82.42,80.7,87.6,484.0,371.0,1444.0,0.08
88.0,82.69,81.57,89.67,509.0,359.0,1476.0,0.14
88.0,82.55,81.07,88.39,544.0,365.0,1462.0,0.11
87.0,82.55,81.41,90.39,475.0,353.0,1462.0,0.09
89.0,82.73,81.52,90.33,551.0,383.0,1459.0,0.11
88.0,82.8,81.88,92.45,482.0,376.0,1494.0,0.17
86.0,82.35,81.11,86.56,521.0,365.0,1473.0,0.15
89.0,82.91,82.02,92.18,403.0,414.0,1484.0,0.16
89.0,82.34,81.17,90.22,494.0,371.0,1468.0,0.21
87.0,82.49,81.54,92.87,452.0,403.0,1482.0,0.14
93.0,82.46,82.0,92.54,515.0,373.0,1471.0,0.1
91.0,82.51,81.83,91.53,534.0,347.0,1455.0,0.11
91.0,82.3,81.88,93.05,446.0,374.0,1461.0,0.17
91.0,82.19,81.68,92.64,476.0,380.0,1452.0,0.18
89.0,82.3,81.83,92.86,459.0,387.0,1460.0,0.11
76.0,82.94,81.26,82.61,304.0,407.0,1456.0,0.12
78.0,82.5,80.45,78.19,384.0,405.0,1505.0,0.14
76.0,82.93,81.54,82.83,472.0,391.0,1464.0,0.12
75.0,82.34,80.91,76.64,362.0,365.0,1482.0,0.21
77.0,82.27,80.73,85.24,538.0,348.0,1469.0,0.15
78.0,82.71,80.88,86.57,426.0,413.0,1464.0,0.19
80.0,82.55,80.55,77.27,357.0,446.0,1483.0,0.14
77.0,82.17,80.65,78.42,434.0,405.0,1475.0,0.13
77.0,81.45,79.8,76.37,500.0,382.0,1463.0,0.12
78.0,82.02,80.5,79.07,350.0,374.0,1469.0,0.14
79.0,82.12,80.68,77.66,543.0,368.0,1476.0,0.18
76.0,82.39,80.77,79.05,613.0,273.0,1471.0,0.1
79.0,82.08,80.57,78.63,489.0,362.0,1475.0,0.11
77.0,82.45,80.55,83.73,342.0,443.0,1489.0,0.12
81.0,82.28,80.49,76.33,402.0,416.0,1487.0,0.13
82.0,82.33,80.59,80.97,448.0,435.0,1480.0,0.12
84.0,82.66,81.04,84.49,470.0,452.0,1469.0,0.12
83.0,82.16,80.49,90.33,383.0,468.0,1481.0,0.1
83.0,81.99,80.59,81.58,371.0,404.0,1467.0,0.12
82.0,81.83,80.17,77.46,480.0,397.0,1468.0,0.12
79.0,81.9,80.31,80.16,407.0,398.0,1480.0,0.1
81.0,82.36,80.69,76.03,471.0,384.0,1473.0,0.08
82.0,82.74,81.05,80.39,403.0,390.0,1489.0,0.1
80.0,81.55,80.01,84.15,508.0,403.0,1468.0,0.1
81.0,82.71,81.22,87.02,375.0,426.0,1481.0,0.11
81.0,82.23,80.76,87.23,377.0,443.0,1483.0,0.16
81.0,82.3,80.77,84.71,343.0,441.0,1469.0,0.15
81.0,82.5,80.68,85.41,434.0,407.0,1478.0,0.1
81.0,82.22,80.57,85.46,381.0,403.0,1484.0,0.08
82.0,81.93,80.3,79.18,423.0,400.0,1462.0,0.11
83.0,81.9,80.39,77.13,265.0,424.0,1473.0,0.12
82.0,82.09,80.62,76.29,330.0,460.0,1480.0,0.11
87.0,82.27,81.14,85.48,368.0,500.0,1480.0,0.16
87.0,82.16,80.61,75.49,389.0,372.0,1493.0,0.1
89.0,82.34,80.98,77.4,355.0,399.0,1499.0,0.12
89.0,82.34,81.0,78.42,385.0,410.0,1499.0,0.1
89.0,82.34,80.93,79.54,419.0,425.0,1503.0,0.14
89.0,82.07,80.98,80.95,466.0,429.0,1477.0,0.12
87.0,82.09,80.69,78.51,369.0,455.0,1492.0,0.11
86.0,82.12,80.6,76.41,414.0,422.0,1494.0,0.14
85.0,82.13,80.57,76.12,442.0,423.0,1486.0,0.12
86.0,82.18,80.96,76.92,405.0,421.0,1490.0,0.1
86.0,82.48,81.3,81.39,392.0,433.0,1484.0,0.09
85.0,82.45,80.98,78.83,421.0,433.0,1498.0,0.21
89.0,82.3,81.77,90.06,281.0,447.0,1472.0,0.13
89.0,82.29,81.14,79.55,471.0,426.0,1475.0,0.12
88.0,83.03,81.63,79.81,564.0,300.0,1502.0,0.1
91.0,82.99,81.37,77.01,264.0,463.0,1478.0,0.13
90.0,82.97,81.43,76.9,386.0,396.0,1489.0,0.11
92.0,82.21,80.69,76.25,308.0,397.0,1479.0,0.13
93.0,81.91,80.95,75.39,278.0,457.0,1492.0,0.1
94.0,81.96,81.17,76.09,266.0,448.0,1496.0,0.14
92.0,81.97,80.96,76.77,296.0,427.0,1501.0,0.1
87.0,81.99,81.08,81.34,364.0,446.0,1496.0,0.12
87.0,82.02,81.19,83.69,358.0,429.0,1495.0,0.14
87.0,81.93,81.12,79.11,342.0,445.0,1500.0,0.14
85.0,82.03,81.31,81.21,338.0,410.0,1499.0,0.09
84.0,81.92,80.54,76.5,415.0,391.0,1493.0,0.14
84.0,82.1,80.72,83.36,327.0,415.0,1496.0,0.15
87.0,81.9,80.97,76.01,378.0,395.0,1498.0,0.22
88.0,82.23,81.42,77.7,385.0,393.0,1505.0,0.1
91.0,82.06,81.23,77.77,297.0,446.0,1498.0,0.13
92.0,82.13,81.31,81.47,318.0,438.0,1510.0,0.12
92.0,81.87,80.91,78.69,336.0,439.0,1507.0,0.12
87.0,82.4,81.5,86.08,440.0,419.0,1500.0,0.19
87.0,81.87,81.33,85.22,341.0,377.0,1502.0,0.1
90.0,82.05,81.23,90.34,352.0,430.0,1493.0,0.13
89.0,81.98,80.95,81.5,302.0,429.0,1493.0,0.16
90.0,82.48,81.2,85.47,380.0,432.0,1512.0,0.15
85.0,82.43,80.95,84.83,299.0,456.0,1498.0,0.17
83.0,82.35,81.01,87.45,436.0,423.0,1499.0,0.13
87.0,82.13,80.68,83.6,315.0,451.0,1491.0,0.13
84.0,81.73,80.85,80.71,481.0,368.0,1488.0,0.13
84.0,82.06,81.14,82.83,347.0,402.0,1504.0,0.12
85.0,82.34,81.31,86.77,361.0,449.0,1496.0,0.18
84.0,81.98,81.17,81.84,477.0,355.0,1492.0,0.13
84.0,82.09,81.3,82.9,485.0,356.0,1497.0,0.1
84.0,82.09,81.47,84.38,481.0,363.0,1500.0,0.13
84.0,82.09,81.64,85.86,478.0,370.0,1504.0,0.14
83.0,82.44,81.75,87.17,465.0,386.0,1495.0,0.12
85.0,82.32,81.68,88.12,424.0,398.0,1492.0,0.17
86.0,82.14,81.41,85.58,419.0,407.0,1493.0,0.18
85.0,82.14,81.3,85.4,431.0,391.0,1493.0,0.15
84.0,81.92,80.8,88.72,232.0,442.0,1499.0,0.16
84.0,82.15,80.81,83.4,265.0,460.0,1509.0,0.16
85.0,82.42,81.09,81.8,323.0,462.0,1499.0,0.12
83.0,82.25,81.59,83.98,368.0,396.0,1499.0,0.17
85.0,82.37,81.42,85.02,353.0,421.0,1465.0,0.14
86.0,82.38,81.28,84.53,314.0,436.0,1503.0,0.12
88.0,82.3,80.96,79.74,334.0,412.0,1491.0,0.19
88.0,82.87,81.38,84.5,461.0,389.0,1500.0,0.14
87.0,82.82,81.26,84.88,335.0,386.0,1509.0,0.13
89.0,82.65,81.27,85.01,284.0,439.0,1489.0,0.14
87.0,82.27,81.11,83.6,400.0,400.0,1486.0,0.11
87.0,82.48,81.51,84.89,402.0,390.0,1487.0,0.12
87.0,81.89,80.39,80.88,318.0,420.0,1487.0,0.12
88.0,82.03,80.45,81.55,280.0,426.0,1492.0,0.11
87.0,82.4,80.61,82.1,313.0,397.0,1506.0,0.12
88.0,82.66,81.02,82.64,285.0,421.0,1507.0,0.09
89.0,82.54,80.96,81.26,301.0,433.0,1497.0,0.13
88.0,82.44,80.9,80.21,343.0,416.0,1500.0,0.1
86.0,82.45,81.28,84.19,368.0,414.0,1507.0,0.09
83.0,82.19,80.87,84.28,406.0,379.0,1499.0,0.11
83.0,82.54,81.33,86.56,443.0,371.0,1525.0,0.13
81.0,82.36,80.82,83.07,470.0,439.0,1480.0,0.13
85.0,82.23,80.95,84.01,355.0,407.0,1470.0,0.13
82.0,82.49,80.59,81.63,585.0,316.0,1460.0,0.1
83.0,82.44,80.98,84.38,444.0,380.0,1460.0,0.16
84.0,82.31,80.7,83.23,301.0,422.0,1480.0,0.1
83.0,82.66,81.07,88.03,373.0,468.0,1469.0,0.19
85.0,82.46,80.8,84.33,433.0,417.0,1474.0,0.12
84.0,82.58,81.09,83.87,402.0,428.0,1471.0,0.1
84.0,81.86,80.86,81.2,522.0,327.0,1476.0,0.11
82.0,82.6,80.77,81.92,529.0,407.0,1468.0,0.14
85.0,82.59,81.21,85.08,408.0,388.0,1495.0,0.12
84.0,82.41,81.06,83.86,423.0,416.0,1479.0,0.14
86.0,82.52,80.98,85.37,424.0,385.0,1482.0,0.14
85.0,82.63,81.01,83.21,381.0,388.0,1471.0,0.12
85.0,82.39,81.04,84.58,454.0,414.0,1469.0,0.07
90.0,82.3,81.11,84.57,357.0,405.0,1472.0,0.11
91.0,81.75,80.8,79.41,325.0,413.0,1462.0,0.11
89.0,82.62,81.17,82.31,513.0,395.0,1465.0,0.1
92.0,82.59,81.1,84.21,368.0,382.0,1480.0,0.11
91.0,82.69,81.11,84.46,305.0,404.0,1471.0,0.11
91.0,82.57,81.12,84.61,358.0,403.0,1480.0,0.11
89.0,82.33,80.83,82.14,326.0,393.0,1482.0,0.09
88.0,82.71,81.26,84.57,457.0,393.0,1461.0,0.14
89.0,82.44,81.51,84.44,330.0,398.0,1484.0,0.16
88.0,81.15,82.01,86.82,388.0,353.0,1490.0,0.1
88.0,82.69,81.61,87.59,404.0,351.0,1498.0,0.11
86.0,82.44,80.9,87.07,400.0,366.0,1503.0,0.13
87.0,82.71,81.45,90.29,379.0,368.0,1478.0,0.13
88.0,82.41,80.73,89.04,331.0,404.0,1500.0,0.12
89.0,82.26,80.66,87.05,406.0,383.0,1506.0,0.15
89.0,82.49,80.78,85.22,443.0,389.0,1490.0,0.11
88.0,82.8,81.6,89.57,387.0,369.0,1480.0,0.1
88.0,82.32,81.04,87.25,427.0,377.0,1493.0,0.14
90.0,82.78,81.53,87.72,430.0,367.0,1493.0,0.13
89.0,82.73,81.56,90.45,429.0,374.0,1495.0,0.1
90.0,82.52,81.38,91.53,403.0,376.0,1493.0,0.11
90.0,82.48,81.0,93.27,450.0,379.0,1494.0,0.08
89.0,81.35,80.39,86.98,431.0,325.0,1500.0,0.12
88.0,81.42,80.4,82.71,507.0,290.0,1475.0,0.11
89.0,82.57,81.17,83.03,311.0,417.0,1495.0,0.1
90.0,82.55,81.06,88.01,403.0,383.0,1520.0,0.1
89.0,82.5,80.84,86.38,453.0,413.0,1496.0,0.11
86.0,82.12,80.89,80.75,367.0,389.0,1487.0,0.13
89.0,82.41,80.8,83.35,367.0,397.0,1514.0,0.13
91.0,82.51,80.79,88.47,416.0,415.0,1477.0,0.16
92.0,82.45,80.77,89.36,403.0,388.0,1511.0,0.11
90.0,82.25,80.68,86.3,454.0,388.0,1491.0,0.11
90.0,81.81,80.13,84.25,357.0,397.0,1481.0,0.12
90.0,82.25,80.36,88.07,374.0,412.0,1498.0,0.12
90.0,82.59,80.89,93.28,453.0,390.0,1483.0,0.11
87.0,82.11,80.75,89.95,492.0,333.0,1506.0,0.12
90.0,82.65,81.02,99.93,452.0,382.0,1482.0,0.09
89.0,82.28,80.62,97.07,427.0,382.0,1474.0,0.12
88.0,82.16,80.71,90.92,525.0,361.0,1508.0,0.12
85.0,81.96,80.69,85.0,422.0,376.0,1490.0,0.14
89.0,82.5,80.83,85.74,371.0,408.0,1480.0,0.13
88.0,82.4,80.77,89.8,416.0,427.0,1496.0,0.12
89.0,82.29,80.57,89.8,470.0,400.0,1476.0,0.11
87.0,82.29,80.62,86.34,422.0,364.0,1473.0,0.11
84.0,82.52,80.69,87.38,452.0,372.0,1506.0,0.14
85.0,82.58,80.91,87.3,478.0,347.0,1479.0,0.15
86.0,82.56,80.85,89.04,473.0,363.0,1496.0,0.17
86.0,82.5,80.75,91.25,448.0,388.0,1507.0,0.12
85.0,82.27,80.44,88.23,399.0,406.0,1499.0,0.13
84.0,82.82,81.31,87.09,406.0,367.0,1504.0,0.15
84.0,82.97,81.4,88.41,402.0,378.0,1483.0,0.15
82.0,82.47,81.33,88.92,385.0,353.0,1493.0,0.13
83.0,82.62,81.47,89.05,424.0,347.0,1490.0,0.15
83.0,82.21,81.33,89.4,410.0,354.0,1487.0,0.13
83.0,82.26,81.4,90.5,374.0,380.0,1486.0,0.11
84.0,82.61,81.41,90.85,381.0,361.0,1476.0,0.13
82.0,82.45,81.71,90.04,430.0,341.0,1490.0,0.14
83.0,82.63,81.38,90.43,417.0,337.0,1493.0,0.13
84.0,82.86,81.52,89.85,320.0,367.0,1498.0,0.16
82.0,82.42,81.35,90.6,401.0,326.0,1494.0,0.17
82.0,82.33,81.43,90.03,365.0,353.0,1486.0,0.13
80.0,82.61,81.8,89.64,403.0,356.0,1470.0,0.17
83.0,82.79,81.82,89.5,494.0,312.0,1470.0,0.13
82.0,82.52,81.95,91.48,405.0,356.0,1497.0,0.14
81.0,82.66,81.82,90.8,450.0,354.0,1488.0,0.17
80.0,82.18,81.31,88.38,479.0,323.0,1480.0,0.17
84.0,82.61,81.3,89.92,403.0,382.0,1478.0,0.15
85.0,82.56,81.15,91.92,309.0,398.0,1508.0,0.14
86.0,82.05,81.04,87.25,451.0,339.0,1478.0,0.19
88.0,82.46,81.61,87.91,439.0,323.0,1476.0,0.1
87.0,82.48,81.72,89.3,442.0,327.0,1488.0,0.1
86.0,82.57,81.77,90.37,455.0,332.0,1487.0,0.13
87.0,82.56,81.9,90.75,407.0,353.0,1485.0,0.17
87.0,81.83,81.06,89.56,431.0,337.0,1476.0,0.16
89.0,82.56,82.01,88.76,438.0,321.0,1504.0,0.12
90.0,82.45,81.76,88.76,460.0,329.0,1502.0,0.22
86.0,82.6,81.65,89.52,471.0,357.0,1472.0,0.12
89.0,82.59,81.78,93.31,372.0,406.0,1505.0,0.11
83.0,82.79,81.93,89.99,428.0,342.0,1518.0,0.13
84.0,82.77,81.08,90.18,541.0,314.0,1476.0,0.16
83.0,82.3,81.66,90.16,379.0,351.0,1511.0,0.14
83.0,82.67,81.56,88.87,486.0,358.0,1493.0,0.17
84.0,82.52,81.54,89.22,497.0,308.0,1497.0,0.16
82.0,82.44,81.68,89.5,473.0,310.0,1491.0,0.11
83.0,82.6,81.5,89.2,515.0,304.0,1499.0,0.17
84.0,82.66,81.79,89.27,495.0,313.0,1507.0,0.18
85.0,82.89,82.16,90.41,412.0,315.0,1519.0,0.14
86.0,82.91,81.46,91.6,449.0,347.0,1513.0,0.18
84.0,82.79,81.52,91.63,413.0,343.0,1509.0,0.17
82.0,82.56,81.48,89.37,453.0,334.0,1518.0,0.18
85.0,82.47,81.58,90.52,433.0,345.0,1511.0,0.16
83.0,82.64,81.87,89.64,412.0,351.0,1504.0,0.2
86.0,83.02,81.95,89.47,487.0,360.0,1494.0,0.17
82.0,81.97,81.11,90.04,527.0,295.0,1496.0,0.16
83.0,82.18,81.46,89.0,497.0,288.0,1495.0,0.16
80.0,81.98,81.12,85.31,473.0,301.0,1486.0,0.16
80.0,81.55,80.77,85.58,443.0,310.0,1506.0,0.14
