D1,DpB,T3,T4,P,M01,TS1,SF,YsynA
195.0,279.0,81.97,80.76,311.04,90.1,33.38,30.63,0.6
190.0,289.0,82.11,81.04,315.17,89.88,29.82,34.42,0.6
179.0,287.0,82.49,81.39,313.95,92.12,31.93,27.13,0.58
202.0,281.0,82.23,80.7,314.15,87.6,31.84,35.46,0.58
183.0,291.0,82.51,81.57,314.17,89.67,31.73,29.46,0.56
190.0,284.0,82.38,81.07,314.17,88.39,30.95,30.87,0.55
188.0,286.0,82.31,81.41,314.27,90.39,31.52,33.99,0.57
195.0,295.0,82.68,81.52,312.63,90.33,30.35,28.55,0.57
186.0,312.0,82.54,81.88,311.97,92.45,33.67,29.52,0.6
190.0,296.0,82.26,81.11,313.15,86.56,31.73,30.81,0.59
201.0,300.0,82.67,82.02,311.89,92.18,32.09,30.76,0.61
218.0,299.0,81.98,81.17,310.48,90.22,31.11,31.77,0.56
196.0,323.0,81.98,81.54,313.85,92.87,32.04,31.08,0.61
195.0,284.0,82.4,82.0,313.01,92.54,32.07,33.73,0.6
190.0,291.0,82.38,81.83,314.0,91.53,29.99,31.17,0.6
199.0,280.0,82.04,81.88,313.93,93.05,31.08,31.9,0.6
205.0,284.0,82.0,81.68,313.9,92.64,30.76,28.54,0.59
198.0,290.0,82.18,81.83,314.21,92.86,31.78,31.73,0.59
217.0,293.0,82.72,81.26,326.19,82.61,30.48,37.37,0.64
255.0,305.0,82.27,80.45,319.53,78.19,36.37,29.08,0.6
190.0,266.0,81.78,81.54,338.66,82.83,32.59,31.63,0.64
186.0,278.0,81.78,80.91,324.85,76.64,32.3,27.92,0.63
211.0,298.0,82.08,80.73,321.17,85.24,31.76,34.12,0.58
223.0,300.0,82.51,80.88,316.52,86.57,30.3,32.89,0.6
224.0,322.0,82.31,80.55,324.96,77.27,34.2,27.07,0.6
210.0,313.0,81.95,80.65,335.38,78.42,32.0,31.85,0.59
173.0,274.0,81.24,79.8,327.07,76.37,31.59,24.84,0.6
175.0,206.0,81.81,80.5,325.84,79.07,32.09,31.61,0.62
190.0,272.0,81.9,80.68,328.01,77.66,32.95,31.45,0.65
146.0,293.0,81.55,80.77,332.32,79.05,32.84,28.97,0.64
195.0,297.0,81.86,80.57,325.12,78.63,32.63,35.28,0.65
193.0,193.0,82.24,80.55,327.17,83.73,32.63,36.45,0.61
236.0,299.0,82.11,80.49,329.03,76.33,34.05,30.2,0.6
232.0,299.0,82.19,80.59,329.62,80.97,33.1,30.26,0.59
228.0,316.0,82.47,81.04,329.55,84.49,31.81,33.41,0.59
220.0,319.0,81.96,80.49,324.95,90.33,32.48,30.93,0.61
220.0,294.0,81.78,80.59,326.03,81.58,30.51,36.71,0.6
243.0,288.0,81.61,80.17,326.72,77.46,31.3,32.86,0.6
183.0,251.0,81.69,80.31,328.5,80.16,33.61,29.89,0.58
212.0,278.0,82.14,80.69,332.16,76.03,31.63,30.38,0.59
215.0,275.0,82.51,81.05,328.7,80.39,33.3,32.67,0.61
215.0,281.0,81.36,80.01,324.26,84.15,32.2,35.16,0.63
218.0,305.0,82.52,81.22,324.55,87.02,31.72,31.18,0.63
220.0,320.0,82.03,80.76,324.49,87.23,31.34,34.99,0.65
227.0,311.0,82.1,80.77,328.64,84.71,29.97,33.69,0.62
232.0,300.0,82.28,80.68,320.0,85.41,31.2,32.37,0.62
219.0,305.0,82.02,80.57,320.0,85.46,33.17,33.26,0.61
219.0,288.0,81.72,80.3,322.44,79.18,31.21,31.95,0.62
228.0,299.0,81.69,80.39,322.03,77.13,32.5,30.11,0.64
203.0,336.0,81.88,80.62,324.98,76.29,32.16,30.29,0.65
183.0,301.0,82.09,81.14,325.9,85.48,31.9,31.18,0.61
192.0,285.0,81.43,80.61,330.58,75.49,34.03,29.15,0.6
214.0,312.0,82.03,80.98,328.07,77.4,34.27,33.42,0.61
218.0,319.0,82.05,81.0,326.96,78.42,34.88,36.87,0.6
221.0,323.0,81.96,80.93,325.05,79.54,33.15,25.48,0.59
224.0,326.0,81.84,80.98,320.03,80.95,31.63,31.18,0.6
227.0,346.0,81.89,80.69,319.9,78.51,32.78,27.26,0.59
229.0,313.0,81.72,80.6,319.02,76.41,33.86,30.9,0.58
216.0,308.0,81.72,80.57,320.45,76.12,33.2,29.51,0.58
213.0,311.0,82.07,80.96,321.21,76.92,32.89,30.26,0.6
226.0,327.0,82.53,81.3,320.99,81.39,31.02,34.03,0.61
218.0,311.0,82.3,80.98,320.41,78.83,32.44,30.63,0.61
211.0,333.0,82.27,81.77,320.14,90.06,30.66,31.03,0.61
190.0,241.0,82.35,81.14,329.46,79.55,31.65,29.48,0.59
168.0,299.0,81.78,81.63,326.29,79.81,34.34,33.15,0.6
220.0,366.0,82.09,81.37,331.44,77.01,32.54,28.42,0.58
217.0,311.0,81.95,81.43,332.11,76.9,34.53,31.17,0.59
213.0,307.0,81.38,80.69,321.36,76.25,33.0,32.59,0.6
232.0,320.0,81.82,80.95,326.03,75.39,34.29,28.73,0.59
209.0,278.0,82.01,81.17,328.68,76.09,34.95,26.79,0.59
236.0,296.0,81.92,80.96,324.37,76.77,36.27,28.0,0.6
246.0,307.0,82.25,81.08,323.07,81.34,34.9,31.97,0.59
247.0,304.0,82.3,81.19,319.21,83.69,34.05,29.02,0.59
211.0,305.0,81.88,81.12,324.54,79.11,34.63,27.82,0.61
192.0,294.0,81.79,81.31,326.12,81.21,34.58,32.04,0.61
175.0,271.0,81.7,80.54,327.73,76.5,35.27,26.58,0.59
160.0,267.0,81.89,80.72,329.52,83.36,34.71,31.02,0.6
165.0,164.0,81.67,80.97,331.96,76.01,35.18,25.51,0.59
189.0,276.0,81.98,81.42,329.66,77.7,35.36,30.35,0.59
221.0,310.0,81.83,81.23,324.58,77.77,34.35,29.95,0.6
232.0,311.0,81.93,81.31,319.97,81.47,35.12,28.91,0.58
226.0,319.0,81.64,80.91,320.19,78.69,35.71,26.83,0.59
212.0,292.0,82.14,81.5,326.97,86.08,34.33,33.57,0.57
208.0,302.0,81.74,81.33,324.92,85.22,34.61,32.8,0.6
224.0,298.0,81.8,81.23,319.48,90.34,33.77,35.71,0.59
221.0,308.0,81.72,80.95,322.56,81.5,35.03,32.71,0.6
250.0,307.0,82.3,81.2,319.83,85.47,36.1,25.9,0.61
231.0,316.0,82.25,80.95,318.96,84.83,33.9,36.11,0.57
225.0,306.0,82.15,81.01,319.55,87.45,34.59,30.36,0.59
253.0,304.0,81.89,80.68,319.96,83.6,34.75,31.62,0.58
200.0,277.0,81.46,80.85,321.53,80.71,34.7,28.24,0.61
210.0,286.0,81.77,81.14,321.91,82.83,35.76,30.99,0.6
227.0,319.0,82.19,81.31,318.65,86.77,33.95,34.0,0.56
206.0,291.0,81.76,81.17,324.07,81.84,34.83,30.38,0.61
207.0,304.0,81.95,81.3,323.34,82.9,35.81,31.97,0.59
210.0,298.0,82.12,81.47,322.18,84.38,35.21,32.1,0.58
214.0,291.0,82.3,81.64,321.02,85.86,35.5,31.42,0.54
216.0,293.0,82.39,81.75,319.98,87.17,34.38,29.89,0.58
216.0,315.0,82.14,81.68,319.5,88.12,33.8,32.76,0.59
212.0,306.0,81.93,81.41,319.86,85.58,34.45,30.68,0.61
223.0,301.0,81.97,81.3,322.49,85.4,34.05,30.68,0.56
