D1,DS1,DpB,T4,P,M01,TS1,YsynB
195.0,1641.0,279.0,80.76,311.04,90.1,33.38,0.59
190.0,1670.0,289.0,81.04,315.17,89.88,29.82,0.59
179.0,1666.0,287.0,81.39,313.95,92.12,31.93,0.6
202.0,1674.0,281.0,80.7,314.15,87.6,31.84,0.6
183.0,1667.0,291.0,81.57,314.17,89.67,31.73,0.57
190.0,1656.0,284.0,81.07,314.17,88.39,30.95,0.57
188.0,1666.0,286.0,81.41,314.27,90.39,31.52,0.58
195.0,1650.0,295.0,81.52,312.63,90.33,30.35,0.59
186.0,1646.0,312.0,81.88,311.97,92.45,33.67,0.59
190.0,1652.0,296.0,81.11,313.15,86.56,31.73,0.6
201.0,1650.0,300.0,82.02,311.89,92.18,32.09,0.62
218.0,1651.0,299.0,81.17,310.48,90.22,31.11,0.58
196.0,1628.0,323.0,81.54,313.85,92.87,32.04,0.59
195.0,1627.0,284.0,82.0,313.01,92.54,32.07,0.61
190.0,1630.0,291.0,81.83,314.0,91.53,29.99,0.57
199.0,1628.0,280.0,81.88,313.93,93.05,31.08,0.58
205.0,1601.0,284.0,81.68,313.9,92.64,30.76,0.6
198.0,1617.0,290.0,81.83,314.21,92.86,31.78,0.59
217.0,1625.0,293.0,81.26,326.19,82.61,30.48,0.63
255.0,1588.0,305.0,80.45,319.53,78.19,36.37,0.59
190.0,1659.0,266.0,81.54,338.66,82.83,32.59,0.65
186.0,1644.0,278.0,80.91,324.85,76.64,32.3,0.65
211.0,1622.0,298.0,80.73,321.17,85.24,31.76,0.59
223.0,1665.0,300.0,80.88,316.52,86.57,30.3,0.61
224.0,1628.0,322.0,80.55,324.96,77.27,34.2,0.59
210.0,1635.0,313.0,80.65,335.38,78.42,32.0,0.58
173.0,1647.0,274.0,79.8,327.07,76.37,31.59,0.58
175.0,1665.0,206.0,80.5,325.84,79.07,32.09,0.6
190.0,1635.0,272.0,80.68,328.01,77.66,32.95,0.62
146.0,1661.0,293.0,80.77,332.32,79.05,32.84,0.63
195.0,1653.0,297.0,80.57,325.12,78.63,32.63,0.64
193.0,1638.0,193.0,80.55,327.17,83.73,32.63,0.62
236.0,1618.0,299.0,80.49,329.03,76.33,34.05,0.6
232.0,1618.0,299.0,80.59,329.62,80.97,33.1,0.57
228.0,1615.0,316.0,81.04,329.55,84.49,31.81,0.57
220.0,1616.0,319.0,80.49,324.95,90.33,32.48,0.6
220.0,1623.0,294.0,80.59,326.03,81.58,30.51,0.61
243.0,1607.0,288.0,80.17,326.72,77.46,31.3,0.61
183.0,1630.0,251.0,80.31,328.5,80.16,33.61,0.61
212.0,1622.0,278.0,80.69,332.16,76.03,31.63,0.6
215.0,1635.0,275.0,81.05,328.7,80.39,33.3,0.59
215.0,1604.0,281.0,80.01,324.26,84.15,32.2,0.64
218.0,1639.0,305.0,81.22,324.55,87.02,31.72,0.62
220.0,1635.0,320.0,80.76,324.49,87.23,31.34,0.62
227.0,1629.0,311.0,80.77,328.64,84.71,29.97,0.63
232.0,1631.0,300.0,80.68,320.0,85.41,31.2,0.63
219.0,1635.0,305.0,80.57,320.0,85.46,33.17,0.59
219.0,1614.0,288.0,80.3,322.44,79.18,31.21,0.63
228.0,1621.0,299.0,80.39,322.03,77.13,32.5,0.62
203.0,1617.0,336.0,80.62,324.98,76.29,32.16,0.63
183.0,1639.0,301.0,81.14,325.9,85.48,31.9,0.6
192.0,1638.0,285.0,80.61,330.58,75.49,34.03,0.61
214.0,1614.0,312.0,80.98,328.07,77.4,34.27,0.6
218.0,1611.0,319.0,81.0,326.96,78.42,34.88,0.61
221.0,1609.0,323.0,80.93,325.05,79.54,33.15,0.6
224.0,1603.0,326.0,80.98,320.03,80.95,31.63,0.61
227.0,1595.0,346.0,80.69,319.9,78.51,32.78,0.58
229.0,1612.0,313.0,80.6,319.02,76.41,33.86,0.6
216.0,1610.0,308.0,80.57,320.45,76.12,33.2,0.61
213.0,1629.0,311.0,80.96,321.21,76.92,32.89,0.61
226.0,1633.0,327.0,81.3,320.99,81.39,31.02,0.58
218.0,1617.0,311.0,80.98,320.41,78.83,32.44,0.6
211.0,1643.0,333.0,81.77,320.14,90.06,30.66,0.59
190.0,1642.0,241.0,81.14,329.46,79.55,31.65,0.6
168.0,1651.0,299.0,81.63,326.29,79.81,34.34,0.62
220.0,1621.0,366.0,81.37,331.44,77.01,32.54,0.61
217.0,1604.0,311.0,81.43,332.11,76.9,34.53,0.6
