DpB,T1,T3,T4,P,M01,Ds,YuntB
279.0,87.0,81.97,80.76,311.04,90.1,1487.0,0.21
289.0,87.0,82.11,81.04,315.17,89.88,1458.0,0.2
287.0,89.0,82.49,81.39,313.95,92.12,1480.0,0.23
281.0,86.0,82.23,80.7,314.15,87.6,1444.0,0.19
291.0,88.0,82.51,81.57,314.17,89.67,1476.0,0.21
284.0,88.0,82.38,81.07,314.17,88.39,1462.0,0.2
286.0,87.0,82.31,81.41,314.27,90.39,1462.0,0.2
295.0,89.0,82.68,81.52,312.63,90.33,1459.0,0.21
312.0,88.0,82.54,81.88,311.97,92.45,1494.0,0.2
296.0,86.0,82.26,81.11,313.15,86.56,1473.0,0.19
300.0,89.0,82.67,82.02,311.89,92.18,1484.0,0.2
299.0,89.0,81.98,81.17,310.48,90.22,1468.0,0.21
323.0,87.0,81.98,81.54,313.85,92.87,1482.0,0.21
284.0,93.0,82.4,82.0,313.01,92.54,1471.0,0.21
291.0,91.0,82.38,81.83,314.0,91.53,1455.0,0.19
280.0,91.0,82.04,81.88,313.93,93.05,1461.0,0.21
284.0,91.0,82.0,81.68,313.9,92.64,1452.0,0.2
290.0,89.0,82.18,81.83,314.21,92.86,1460.0,0.21
293.0,76.0,82.72,81.26,326.19,82.61,1456.0,0.21
305.0,78.0,82.27,80.45,319.53,78.19,1505.0,0.21
266.0,76.0,81.78,81.54,338.66,82.83,1464.0,0.21
278.0,75.0,81.78,80.91,324.85,76.64,1482.0,0.19
298.0,77.0,82.08,80.73,321.17,85.24,1469.0,0.21
300.0,78.0,82.51,80.88,316.52,86.57,1464.0,0.19
322.0,80.0,82.31,80.55,324.96,77.27,1483.0,0.19
313.0,77.0,81.95,80.65,335.38,78.42,1475.0,0.19
274.0,77.0,81.24,79.8,327.07,76.37,1463.0,0.19
206.0,78.0,81.81,80.5,325.84,79.07,1469.0,0.2
272.0,79.0,81.9,80.68,328.01,77.66,1476.0,0.19
293.0,76.0,81.55,80.77,332.32,79.05,1471.0,0.2
297.0,79.0,81.86,80.57,325.12,78.63,1475.0,0.2
193.0,77.0,82.24,80.55,327.17,83.73,1489.0,0.19
299.0,81.0,82.11,80.49,329.03,76.33,1487.0,0.21
299.0,82.0,82.19,80.59,329.62,80.97,1480.0,0.2
316.0,84.0,82.47,81.04,329.55,84.49,1469.0,0.2
319.0,83.0,81.96,80.49,324.95,90.33,1481.0,0.21
294.0,83.0,81.78,80.59,326.03,81.58,1467.0,0.2
288.0,82.0,81.61,80.17,326.72,77.46,1468.0,0.2
251.0,79.0,81.69,80.31,328.5,80.16,1480.0,0.19
278.0,81.0,82.14,80.69,332.16,76.03,1473.0,0.2
275.0,82.0,82.51,81.05,328.7,80.39,1489.0,0.19
281.0,80.0,81.36,80.01,324.26,84.15,1468.0,0.19
305.0,81.0,82.52,81.22,324.55,87.02,1481.0,0.21
320.0,81.0,82.03,80.76,324.49,87.23,1483.0,0.19
311.0,81.0,82.1,80.77,328.64,84.71,1469.0,0.21
300.0,81.0,82.28,80.68,320.0,85.41,1478.0,0.2
305.0,81.0,82.02,80.57,320.0,85.46,1484.0,0.21
288.0,82.0,81.72,80.3,322.44,79.18,1462.0,0.2
299.0,83.0,81.69,80.39,322.03,77.13,1473.0,0.22
336.0,82.0,81.88,80.62,324.98,76.29,1480.0,0.21
