D1;DS1;DSF; DpA;DpB; T1; T2;T3;T4;deltaT;P;M01; M02;VA ;VB ;D2A; D2B;Ds;TS1;SF;D3A;D3B;DS2A;DS2B;POA;POB;TsA; TsB;SFA; SFB;DgA;YseA;YsynA; YuntA;CaoA;DgB;YseB;YsynB; YuntB;CaoB;Ym ;CaO;R
181;1630;71;118;301;85;79,78;79,11;79,41;2,346;337,07;86,70;73,23;457;495;345;379;1339;22,43;29,18;138,18;87,27;1186;1193;22,80;23,05;1,02;1,08;30,87;30,38;102;0,1;0,6;0,2;32,46;102;0,13;0,59;0,21;32,52;0,915;32,49;95,21
219;1649;101;152;276;87;82,12;82,23;80,72;1,507;319,60;87,99;55,72;478;524;360;360;1470;34,48;31,48;100,38;57,06;1208;1211;24,02;24,17;1,07;1,02;30,38;29,40;114;0,15;0,58;0,22;32,44;114;0,17;0,59;0,21;32,39;0,960;32,42;94,97
195;1641;94;181;279;87;82,39;81,97;80,76;1,212;311,04;90,10;69,15;546;583;388;365;1487;33,38;30,63;110,38;79,28;1239;1239;24,02;24,17;1,07;1,02;30,38;29,40;133;0,12;0,6;0,21;32,64;131;0,14;0,59;0,21;32,46;0,935;32,55;95,12
190;1670;90;186;289;87;82,21;82,11;81,04;1,064;315,17;89,88;71,85;474;531;379;374;1458;29,82;34,42;85,17;87,32;1238;1238;24,02;24,17;1,07;1,02;30,38;29,40;128;0,21;0,6;0,2;32,52;126;0,19;0,59;0,2;32,66;0,995;32,59;94,81
179;1666;91;156;287;89;82,62;82,49;81,39;1,100;313,95;92,12;46,00;553;597;359;366;1480;31,93;27,13;102,80;89,05;1241;1240;24,55;24,79;0,92;0,96;25,97;26,95;131;0,15;0,58;0,22;32,49;130;0,18;0,6;0,23;32,42;0,980;32,46;94,87
202;1674;90;167;281;86;82,42;82,23;80,70;1,532;314,15;87,60;53,17;484;523;371;355;1444;31,84;35,46;99,57;81,26;1235;1236;24,55;24,79;0,92;0,96;25,97;26,95;127;0,11;0,58;0,2;32,41;129;0,08;0,6;0,19;32,58;0,880;32,50;95,40
183;1667;91;177;291;88;82,69;82,51;81,57;0,941;314,17;89,67;60,22;509;549;359;379;1476;31,73;29,46;94,75;89,89;1241;1240;24,55;24,79;0,92;0,96;25,97;26,95;128;0,12;0,56;0,2;32,66;130;0,14;0,57;0,21;32,54;0,900;32,60;95,31
190;1656;91;180;284;88;82,55;82,38;81,07;1,319;314,17;88,39;67,43;544;580;365;375;1462;30,95;30,87;86,08;93,98;1233;1235;24,49;24,74;0,89;1,07;29,40;29,89;129;0,12;0,55;0,2;32,48;130;0,11;0,57;0,2;32,46;0,875;32,47;95,42
188;1666;91;167;286;87;82,55;82,31;81,41;0,901;314,27;90,39;59,67;475;475;353;379;1462;31,52;33,99;98,46;88,48;1229;1236;24,49;24,74;0,89;1,07;29,40;29,89;130;0,1;0,57;0,22;32,49;130;0,09;0,58;0,2;32,40;0,880;32,45;95,39
195;1650;94;167;295;89;82,73;82,68;81,52;1,159;312,63;90,33;63,41;551;610;383;374;1459;30,35;28,55;92,36;90,10;1230;1238;24,49;24,74;0,89;1,07;29,40;29,89;132;0,09;0,57;0,2;32,50;132;0,11;0,59;0,21;32,33;0,885;32,42;95,36
